OrderID,OrderDate,Region,Product,UnitsSold,SalePrice
1,2024-01-15,East,Alpha,12,150.00
2,2024-01-20,West,Beta,8,200.50
3,2024-02-05,North,Gamma,5,300.75
4,2024-02-10,East,Beta,10,200.50
5,2024-03-01,South,Alpha,15,150.00
6,2024-03-18,West,Gamma,7,300.75
7,2024-04-02,East,Gamma,9,300.75
8,2024-04-22,North,Alpha,11,150.00
9,2024-05-10,South,Beta,6,200.50
10,2024-05-25,West,Alpha,14,150.00
11,2024-06-11,East,Alpha,18,150.00
12,2024-06-30,North,Beta,9,200.50
13,2024-07-04,South,Gamma,4,300.75
14,2024-07-19,West,Beta,11,200.50
15,2024-08-01,East,Beta,13,200.50
16,2024-08-15,North,Alpha,10,150.00
17,2024-09-05,South,Alpha,17,150.00
18,2024-09-21,West,Gamma,6,300.75
19,2024-10-10,East,Gamma,12,300.75
20,2024-10-28,North,Gamma,8,300.75
21,2024-11-12,South,Beta,9,200.50
22,2024-11-26,West,Alpha,16,150.00
23,2024-12-08,East,Alpha,20,150.00
24,2024-12-24,North,Beta,11,200.50
25,2025-01-14,South,Gamma,7,300.75
26,2025-01-22,West,Beta,9,200.50
27,2025-02-07,East,Beta,15,200.50
28,2025-02-18,North,Alpha,12,150.00
29,2025-03-05,South,Alpha,18,150.00
30,2025-03-21,West,Gamma,8,300.75
31,2025-04-09,East,Gamma,14,300.75
32,2025-04-25,North,Gamma,10,300.75
33,2025-05-11,South,Beta,11,200.50
34,2025-05-28,West,Alpha,18,150.00
35,2025-06-15,East,Alpha,22,150.00
36,2025-06-29,North,Beta,13,200.50
37,2025-07-07,South,Gamma,9,300.75
38,2025-07-21,West,Beta,13,200.50
39,2025-08-05,East,Beta,16,200.50
40,2025-08-19,North,Alpha,14,150.00
